"RegionName","DisplayName","Physical","RegionCategory","PairedWith","CoveragePercent","TypesCovered","TypesMissing","InstancesMissing","TypesUnknown","MissingTypesList","UnknownTypesList","IsSource"
"australiaeast","Australia East","New South Wales","Recommended","australiasoutheast","100","37","0","0","0","","","False"
"centralindia","Central India","Pune","Recommended","southindia","100","37","0","0","0","","","False"
"eastasia","East Asia","Hong Kong","Recommended","southeastasia","100","37","0","0","0","","","False"
"japaneast","Japan East","Tokyo, Saitama","Recommended","japanwest","100","37","0","0","0","","","False"
"japanwest","Japan West","Osaka","Recommended","japaneast","100","37","0","0","0","","","False"
"koreacentral","Korea Central","Seoul","Recommended","koreasouth","100","37","0","0","0","","","False"
"southindia","South India","Chennai","Other","centralindia","100","37","0","0","0","","","False"
"southeastasia","Southeast Asia","Singapore","Recommended","eastasia","100","37","0","0","0","","","True"
"australiasoutheast","Australia Southeast","Victoria","Other","australiaeast","97.3","36","1","3","0","microsoft.cognitiveservices/accounts (3)","","False"
"indonesiacentral","Indonesia Central","Jakarta","Recommended","","97.3","36","1","3","0","microsoft.cognitiveservices/accounts (3)","","False"
"malaysiawest","Malaysia West","Kuala Lumpur","Recommended","","97.3","36","1","3","0","microsoft.cognitiveservices/accounts (3)","","False"
"newzealandnorth","New Zealand North","Auckland","Recommended","","91.9","34","3","13","0","microsoft.app/containerapps (8); microsoft.cognitiveservices/accounts (3); microsoft.app/managedenvironments (2)","","False"
"koreasouth","Korea South","Busan","Other","koreacentral","89.2","33","4","15","0","microsoft.app/containerapps (8); microsoft.cognitiveservices/accounts (3); microsoft.app/managedenvironments (2); microsoft.datafactory/factories (2)","","False"
"australiacentral","Australia Central","Canberra","Other","australiacentral2","83.8","31","6","25","0","microsoft.app/containerapps (8); microsoft.logic/workflows (8); microsoft.cognitiveservices/accounts (3); microsoft.app/managedenvironments (2); microsoft.search/searchservices (2); microsoft.datafactory/factories (2)","","False"
"westindia","West India","Mumbai","Other","southindia","70.3","26","11","46","0","microsoft.insights/components (14); microsoft.app/containerapps (8); microsoft.appconfiguration/configurationstores (4); microsoft.dbformysql/flexibleservers (3); microsoft.operationalinsights/workspaces (3); microsoft.containerservice/managedclusters (3); microsoft.cognitiveservices/accounts (3); microsoft.containerregistry/registries (2); microsoft.app/managedenvironments (2); microsoft.search/searchservices (2); microsoft.datafactory/factories (2)","","False"
"australiacentral2","Australia Central 2","Canberra","Other","australiacentral","16.2","6","31","424","0","microsoft.managedidentity/userassignedidentities (54); microsoft.web/sites (42); microsoft.storage/storageaccounts (38); microsoft.compute/disks (32); microsoft.network/privateendpoints (32); microsoft.keyvault/vaults (26); microsoft.web/serverfarms (24); microsoft.network/networkinterfaces (24); microsoft.network/networksecuritygroups (22); microsoft.compute/virtualmachines (18); microsoft.network/publicipaddresses (18); microsoft.sql/servers/databases (18); microsoft.logic/workflows (8); microsoft.network/virtualnetworks (8); microsoft.app/containerapps (8); microsoft.network/loadbalancers (6); microsoft.documentdb/databaseaccounts (6); microsoft.servicebus/namespaces (5); microsoft.compute/virtualmachinescalesets (4); microsoft.cache/redis (4); microsoft.sql/servers (4); microsoft.cognitiveservices/accounts (3); microsoft.eventgrid/topics (3); microsoft.network/applicationgateways (3); microsoft.eventhub/namespaces (3); microsoft.app/managedenvironments (2); microsoft.recoveryservices/vaults (2); microsoft.apimanagement/service (2); microsoft.search/searchservices (2); microsoft.datafactory/factories (2); microsoft.network/bastionhosts (1)","","False"
"jioindiacentral","Jio India Central","Nagpur","Other","jioindiawest","0","0","37","453","0","microsoft.managedidentity/userassignedidentities (54); microsoft.web/sites (42); microsoft.storage/storageaccounts (38); microsoft.compute/disks (32); microsoft.network/privateendpoints (32); microsoft.keyvault/vaults (26); microsoft.web/serverfarms (24); microsoft.network/networkinterfaces (24); microsoft.network/networksecuritygroups (22); microsoft.compute/virtualmachines (18); microsoft.sql/servers/databases (18); microsoft.network/publicipaddresses (18); microsoft.insights/components (14); microsoft.logic/workflows (8); microsoft.app/containerapps (8); microsoft.network/virtualnetworks (8); microsoft.network/loadbalancers (6); microsoft.documentdb/databaseaccounts (6); microsoft.servicebus/namespaces (5); microsoft.compute/virtualmachinescalesets (4); microsoft.sql/servers (4); microsoft.cache/redis (4); microsoft.appconfiguration/configurationstores (4); microsoft.dbformysql/flexibleservers (3); microsoft.eventgrid/topics (3); microsoft.eventhub/namespaces (3); microsoft.operationalinsights/workspaces (3); microsoft.containerservice/managedclusters (3); microsoft.cognitiveservices/accounts (3); microsoft.network/applicationgateways (3); microsoft.apimanagement/service (2); microsoft.containerregistry/registries (2); microsoft.app/managedenvironments (2); microsoft.search/searchservices (2); microsoft.datafactory/factories (2); microsoft.recoveryservices/vaults (2); microsoft.network/bastionhosts (1)","","False"
"jioindiawest","Jio India West","Jamnagar","Other","jioindiacentral","0","0","37","453","0","microsoft.managedidentity/userassignedidentities (54); microsoft.web/sites (42); microsoft.storage/storageaccounts (38); microsoft.compute/disks (32); microsoft.network/privateendpoints (32); microsoft.keyvault/vaults (26); microsoft.web/serverfarms (24); microsoft.network/networkinterfaces (24); microsoft.network/networksecuritygroups (22); microsoft.compute/virtualmachines (18); microsoft.sql/servers/databases (18); microsoft.network/publicipaddresses (18); microsoft.insights/components (14); microsoft.logic/workflows (8); microsoft.app/containerapps (8); microsoft.network/virtualnetworks (8); microsoft.network/loadbalancers (6); microsoft.documentdb/databaseaccounts (6); microsoft.servicebus/namespaces (5); microsoft.compute/virtualmachinescalesets (4); microsoft.sql/servers (4); microsoft.cache/redis (4); microsoft.appconfiguration/configurationstores (4); microsoft.dbformysql/flexibleservers (3); microsoft.eventgrid/topics (3); microsoft.eventhub/namespaces (3); microsoft.operationalinsights/workspaces (3); microsoft.containerservice/managedclusters (3); microsoft.cognitiveservices/accounts (3); microsoft.network/applicationgateways (3); microsoft.apimanagement/service (2); microsoft.containerregistry/registries (2); microsoft.app/managedenvironments (2); microsoft.search/searchservices (2); microsoft.datafactory/factories (2); microsoft.recoveryservices/vaults (2); microsoft.network/bastionhosts (1)","","False"
