"Namespace","Registration","ResourceTypes","Global","Austria East","Belgium Central","Denmark East","France Central","France South","Germany North","Germany West Central","Italy North","North Europe","Norway East","Norway West","Poland Central","Spain Central","Sweden Central","Switzerland North","Switzerland West","West Europe"
"Microsoft.HanaOnAzure","NotRegistered","5","False","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no"
"Microsoft.Hardware","NotRegistered","6","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"Microsoft.HardwareSecurityModules","NotRegistered","4","False","no","no","no","yes","yes","yes","yes","yes","yes","yes","yes","no","no","yes","yes","yes","yes"
"Microsoft.HDInsight","Registered","13","False","yes","yes","yes","yes","no","yes","yes","yes","yes","yes","no","yes","yes","yes","yes","yes","yes"
"Microsoft.HealthBot","NotRegistered","4","False","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","yes"
"Microsoft.HealthcareApis","Registered","18","False","no","no","no","yes","no","no","yes","no","yes","no","no","no","no","yes","yes","no","yes"
"Microsoft.HealthcareInterop","NotRegistered","1","True","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global"
"Microsoft.HealthDataAIServices","NotRegistered","6","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes"
"Microsoft.HealthModel","NotRegistered","1","True","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global"
"Microsoft.HealthPlatform","NotRegistered","1","False","no","no","no","yes","no","no","yes","no","no","no","no","no","no","no","no","no","no"
"Microsoft.Help","NotRegistered","13","True","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global"
"Microsoft.HorizonDB","NotRegistered","8","False","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no"
"Microsoft.HybridCloud","NotRegistered","2","False","no","no","no","yes","no","no","yes","no","yes","yes","no","yes","no","yes","yes","no","yes"
"Microsoft.HybridCompute","NotRegistered","34","False","no","no","no","yes","no","no","yes","yes","yes","yes","no","yes","yes","yes","yes","yes","yes"
"Microsoft.HybridConnectivity","NotRegistered","9","False","no","no","no","yes","no","no","yes","yes","yes","yes","no","yes","yes","yes","yes","yes","yes"
"Microsoft.HybridContainerService","NotRegistered","11","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes"
"Microsoft.HybridNetwork","NotRegistered","26","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes"
"Microsoft.Impact","NotRegistered","5","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"Microsoft.InferenceService","NotRegistered","2","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"microsoft.insights","Registered","86","False","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"Microsoft.IntegrationSpaces","NotRegistered","9","False","no","no","no","yes","yes","yes","yes","no","yes","yes","yes","yes","no","yes","yes","yes","yes"
"Microsoft.IoTCentral","NotRegistered","7","False","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","yes"
"Microsoft.IoTFirmwareDefense","NotRegistered","14","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes"
"Microsoft.IoTOperations","NotRegistered","16","False","no","no","no","no","no","no","yes","no","yes","no","no","no","no","no","no","no","yes"
"Microsoft.IoTOperationsDataProcessor","NotRegistered","6","False","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","yes"
"Microsoft.IoTSecurity","NotRegistered","21","False","no","no","no","yes","yes","no","no","no","yes","no","no","no","no","no","no","no","yes"
"Microsoft.KeyVault","Registered","21","False","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"Microsoft.Kubernetes","NotRegistered","5","False","no","no","no","yes","no","no","yes","yes","yes","yes","no","no","no","yes","yes","no","yes"
"Microsoft.KubernetesConfiguration","NotRegistered","11","False","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"Microsoft.KubernetesRuntime","NotRegistered","8","False","no","no","no","no","no","no","no","no","yes","no","no","no","no","yes","no","no","yes"
"Microsoft.Kusto","Registered","15","False","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","no","yes"
"Microsoft.LabServices","NotRegistered","9","False","no","no","no","yes","yes","no","yes","no","yes","yes","no","no","no","no","yes","yes","yes"
"Microsoft.LoadTestService","NotRegistered","14","False","no","no","no","yes","no","no","yes","yes","yes","yes","no","yes","no","yes","yes","no","yes"
"Microsoft.Logic","Registered","14","False","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"Microsoft.MachineLearningServices","Registered","69","False","no","no","no","yes","no","no","yes","yes","yes","yes","no","yes","yes","yes","yes","yes","yes"
"Microsoft.Maintenance","Registered","7","False","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"Microsoft.ManagedIdentity","Registered","4","False","yes","yes","yes","yes","no","no","yes","yes","yes","yes","no","yes","yes","yes","yes","yes","yes"
"Microsoft.ManagedNetworkFabric","NotRegistered","30","False","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no"
"Microsoft.ManagedOps","NotRegistered","4","False","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","yes"
"Microsoft.ManagedServices","Registered","5","True","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global"
"Microsoft.Management","Registered","11","True","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global"
"Microsoft.Maps","Registered","9","False","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","yes"
"Microsoft.Marketplace","NotRegistered","48","True","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global"
"Microsoft.MarketplaceOrdering","Registered","3","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"Microsoft.MessagingCatalog","NotRegistered","1","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"Microsoft.MessagingConnectors","NotRegistered","2","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"Microsoft.Migrate","NotRegistered","24","False","yes","yes","yes","yes","no","no","yes","yes","yes","yes","no","yes","yes","yes","yes","no","yes"
"Microsoft.Mission","NotRegistered","14","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"Microsoft.Monitor","NotRegistered","13","False","yes","yes","no","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"Microsoft.MySqlDiscovery","NotRegistered","9","False","yes","yes","yes","yes","no","no","yes","yes","yes","yes","no","yes","yes","yes","yes","yes","yes"
"Microsoft.NetApp","NotRegistered","30","False","no","no","no","yes","no","yes","yes","yes","yes","yes","yes","no","yes","yes","yes","yes","yes"
"Microsoft.Network","Registered","200","False","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"Microsoft.NetworkCloud","NotRegistered","25","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"Microsoft.NetworkFunction","NotRegistered","11","False","no","no","no","yes","yes","yes","yes","yes","yes","yes","yes","yes","no","yes","yes","yes","yes"
"Microsoft.NexusIdentity","NotRegistered","5","False","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no"
"Microsoft.NotificationHubs","Registered","5","False","no","no","no","yes","no","no","yes","yes","yes","yes","no","yes","no","yes","yes","yes","yes"
"Microsoft.Nutanix","NotRegistered","5","False","no","no","no","no","no","no","yes","no","yes","no","no","no","no","yes","no","no","yes"
"Microsoft.ObjectStore","NotRegistered","1","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"Microsoft.OffAzure","NotRegistered","9","False","yes","yes","yes","yes","no","no","yes","yes","yes","yes","no","yes","yes","yes","yes","no","yes"
"Microsoft.OffAzureSpringBoot","NotRegistered","8","False","no","no","no","yes","no","no","no","no","yes","no","no","no","no","no","no","no","yes"
"Microsoft.OnlineExperimentation","NotRegistered","2","True","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global"
"Microsoft.OpenEnergyPlatform","NotRegistered","8","False","no","no","no","no","no","no","no","no","yes","no","no","no","no","yes","no","no","yes"
"Microsoft.OperationalInsights","Registered","26","False","yes","no","no","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"Microsoft.OperationsManagement","Registered","3","False","yes","no","no","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"Microsoft.OperatorVoicemail","NotRegistered","4","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"Microsoft.Orbital","NotRegistered","4","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes"
"Microsoft.PartnerEnrollment","NotRegistered","1","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"Microsoft.PartnerManagedConsumerRecurrence","NotRegistered","4","True","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global"
"Microsoft.Peering","NotRegistered","12","False","no","no","no","yes","yes","no","no","no","yes","no","no","no","no","no","no","no","yes"
"Microsoft.Pki","NotRegistered","1","True","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global"
"Microsoft.PolicyInsights","Registered","17","True","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global"
"Microsoft.Portal","Registered","11","False","no","no","no","yes","yes","yes","yes","no","yes","yes","yes","no","no","yes","yes","yes","yes"
"Microsoft.PortalServices","NotRegistered","8","False","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","yes"
"Microsoft.PowerBI","NotRegistered","6","False","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","yes"
"Microsoft.PowerBIDedicated","Registered","7","False","yes","no","no","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"Microsoft.PowerPlatform","NotRegistered","3","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"MICROSOFT.POWERPLATFORMMONITORINGHUB","NotRegistered","4","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"Microsoft.Premonition","NotRegistered","2","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"Microsoft.ProfessionalService","NotRegistered","5","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"Microsoft.ProgramEnrollment","NotRegistered","4","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"Microsoft.ProviderHub","NotRegistered","12","True","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global"
"Microsoft.Purview","NotRegistered","12","False","no","no","no","yes","no","no","yes","no","yes","no","no","no","no","yes","yes","no","yes"
"Microsoft.Quantum","NotRegistered","7","False","no","no","no","no","no","no","no","no","yes","no","no","no","no","yes","no","no","yes"
"Microsoft.Quota","NotRegistered","19","True","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global"
"Microsoft.RecoveryServices","Registered","20","False","yes","yes","yes","yes","no","no","yes","yes","yes","yes","no","yes","yes","yes","yes","no","yes"
"Microsoft.RedHatOpenShift","NotRegistered","7","False","yes","yes","no","yes","no","no","yes","yes","yes","yes","yes","no","yes","yes","yes","yes","yes"
"Microsoft.Relationships","NotRegistered","5","True","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global"
"Microsoft.Relay","Registered","12","False","yes","yes","yes","yes","no","no","yes","yes","yes","yes","no","yes","yes","yes","yes","no","yes"
"Microsoft.ResourceBuilder","NotRegistered","4","False","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","yes"
"Microsoft.ResourceConnector","NotRegistered","6","False","no","no","no","no","no","no","yes","yes","yes","no","no","no","no","yes","no","no","yes"
"Microsoft.ResourceGraph","Registered","8","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"Microsoft.ResourceHealth","NotRegistered","7","True","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global"
"Microsoft.ResourceIntelligence","Registered","3","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"Microsoft.ResourceNotifications","Registered","4","False","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","yes"
"Microsoft.Resources","Registered","52","False","yes","yes","yes","yes","no","no","yes","yes","yes","yes","no","yes","yes","yes","yes","no","yes"
"Microsoft.SaaS","NotRegistered","6","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"Microsoft.SaaSHub","NotRegistered","17","False","yes","no","yes","yes","yes","no","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"Microsoft.Scom","NotRegistered","6","False","no","no","no","no","no","no","yes","yes","yes","no","no","no","no","yes","no","no","yes"
"Microsoft.SCVMM","NotRegistered","14","False","no","no","no","no","no","no","no","no","yes","no","no","no","no","yes","no","no","yes"
"Microsoft.Search","Registered","10","False","yes","yes","yes","yes","no","yes","yes","yes","yes","yes","no","yes","yes","yes","yes","yes","yes"
"Microsoft.SecretSyncController","NotRegistered","5","False","no","no","no","no","no","no","yes","no","yes","no","no","no","no","no","no","no","yes"
"Microsoft.Security","Registered","90","False","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"Microsoft.SecurityCopilot","NotRegistered","4","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes"
"Microsoft.SecurityDetonation","NotRegistered","4","False","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"Microsoft.SecurityInsights","Registered","43","False","no","no","no","yes","yes","no","yes","yes","yes","yes","yes","no","no","yes","yes","yes","yes"
"Microsoft.SecurityPlatform","NotRegistered","3","False","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no"
"Microsoft.SentinelPlatformServices","NotRegistered","3","False","no","no","no","yes","no","no","yes","yes","yes","no","no","no","no","yes","yes","no","yes"
"Microsoft.SerialConsole","Registered","5","False","yes","yes","yes","yes","no","no","yes","yes","yes","yes","no","yes","yes","yes","yes","no","yes"
"Microsoft.ServiceBus","Registered","27","False","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"Microsoft.ServiceFabric","Registered","23","False","yes","yes","yes","yes","no","no","yes","yes","yes","yes","no","yes","yes","yes","yes","no","yes"
"Microsoft.ServiceFabricMesh","NotRegistered","12","False","no","no","no","yes","no","no","yes","no","yes","yes","yes","no","no","yes","yes","yes","yes"
"Microsoft.ServiceLinker","NotRegistered","9","False","no","no","no","yes","no","yes","yes","yes","yes","yes","yes","no","no","yes","yes","yes","yes"
"Microsoft.ServiceNetworking","NotRegistered","15","False","no","no","no","yes","no","no","yes","no","yes","yes","no","no","no","yes","yes","no","yes"
"Microsoft.ServicesHub","NotRegistered","6","False","yes","no","no","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"Microsoft.SignalRService","Registered","15","False","yes","no","no","yes","no","no","yes","yes","yes","yes","no","yes","yes","yes","yes","yes","yes"
"Microsoft.Singularity","NotRegistered","19","False","no","no","no","yes","no","no","yes","yes","yes","yes","no","yes","yes","yes","yes","yes","yes"
"Microsoft.SoftwarePlan","NotRegistered","20","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"Microsoft.Solutions","NotRegistered","6","False","yes","yes","yes","yes","no","no","yes","yes","yes","yes","no","yes","yes","yes","yes","no","yes"
"Microsoft.Sovereign","NotRegistered","6","False","no","no","no","no","no","no","no","no","yes","no","no","no","no","yes","no","no","no"
"Microsoft.Sql","Registered","249","False","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"Microsoft.SqlVirtualMachine","NotRegistered","10","False","no","no","no","yes","yes","no","yes","yes","yes","yes","no","yes","yes","yes","yes","no","yes"
"Microsoft.StandbyPool","NotRegistered","8","False","yes","no","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"Microsoft.Storage","Registered","30","False","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"Microsoft.StorageActions","NotRegistered","7","False","no","no","no","yes","no","yes","yes","yes","yes","yes","yes","no","yes","yes","yes","yes","yes"
"Microsoft.StorageCache","NotRegistered","14","False","no","no","no","yes","no","no","yes","yes","yes","yes","no","no","yes","yes","no","no","yes"
"Microsoft.StorageDiscovery","NotRegistered","5","False","no","no","no","yes","no","no","no","no","yes","no","no","no","no","no","no","no","yes"
"Microsoft.StorageMover","NotRegistered","10","False","no","no","no","no","no","no","no","no","yes","no","no","no","no","yes","no","no","no"
"Microsoft.StorageSync","NotRegistered","12","False","no","yes","no","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"Microsoft.StorageTasks","NotRegistered","1","True","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global"
"Microsoft.StreamAnalytics","Registered","12","False","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"Microsoft.Subscription","NotRegistered","20","True","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global"
"Microsoft.SupercomputerInfrastructure","NotRegistered","3","False","no","no","no","no","no","no","yes","no","no","no","no","no","no","yes","no","no","no"
"microsoft.support","Registered","12","False","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","yes"
"Microsoft.SustainabilityServices","NotRegistered","2","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"Microsoft.Synapse","NotRegistered","25","False","no","no","no","yes","yes","no","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"Microsoft.Syntex","NotRegistered","5","False","no","no","no","yes","yes","yes","no","no","yes","yes","yes","no","no","no","yes","yes","yes"
"Microsoft.ToolchainOrchestrator","NotRegistered","1","True","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global"
"Microsoft.UpdateManager","NotRegistered","2","True","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global"
"Microsoft.UsageBilling","NotRegistered","1","False","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"Microsoft.Validate","NotRegistered","2","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"Microsoft.VerifiedId","NotRegistered","1","False","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no"
"Microsoft.VideoIndexer","NotRegistered","9","False","no","no","no","yes","no","no","yes","no","yes","yes","no","no","no","yes","yes","yes","yes"
"Microsoft.VirtualMachineImages","NotRegistered","6","False","yes","yes","yes","yes","no","no","yes","yes","yes","yes","no","yes","yes","yes","yes","no","yes"
"microsoft.visualstudio","NotRegistered","5","False","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","yes"
"Microsoft.VMware","NotRegistered","4","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes"
"Microsoft.Web","Registered","81","False","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"Microsoft.WeightsAndBiases","NotRegistered","6","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"Microsoft.Windows365","NotRegistered","1","True","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global"
"Microsoft.WindowsPushNotificationServices","NotRegistered","1","True","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global"
"Microsoft.WorkloadBuilder","NotRegistered","3","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"Microsoft.Workloads","NotRegistered","13","False","no","no","no","yes","no","no","yes","yes","yes","yes","no","no","no","yes","yes","no","yes"
"Microsoft.ZeroTrustSegmentation","NotRegistered","2","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"MongoDB.Atlas","NotRegistered","8","False","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no"
"Napster.CompanionAPI","NotRegistered","7","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"NewRelic.Observability","NotRegistered","13","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"NGINX.NGINXPLUS","NotRegistered","8","False","no","no","no","no","no","no","yes","no","yes","no","no","no","no","yes","no","no","yes"
"Oracle.Database","NotRegistered","30","False","no","no","no","yes","yes","yes","yes","yes","yes","no","no","no","yes","yes","yes","no","yes"
"PaloAltoNetworks.Cloudngfw","NotRegistered","22","False","no","yes","no","yes","no","no","yes","yes","yes","yes","no","no","yes","yes","yes","yes","yes"
"Pinecone.VectorDb","NotRegistered","6","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"PURESTORAGE.BLOCK","NotRegistered","14","False","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","yes"
"Qumulo.Storage","NotRegistered","6","False","no","no","no","yes","no","no","yes","no","yes","yes","no","no","no","yes","yes","no","yes"
