"Namespace","Registration","ResourceTypes","Global","Australia Central","Australia Central 2","Australia East","Australia Southeast","Central India","East Asia","East Asia (Stage)","Indonesia Central","Japan East","Japan West","Jio India Central","Jio India West","Korea Central","Korea South","Malaysia West","New Zealand North","South India","Southeast Asia","Southeast Asia (Stage)","West India"
"Anyscale.Platform","NotRegistered","10","False","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no"
"ArizeAi.ObservabilityEval","NotRegistered","6","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"Astronomer.Astro","NotRegistered","4","False","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"Commvault.ContentStore","NotRegistered","5","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"Dell.Storage","NotRegistered","6","False","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no"
"Dynatrace.Observability","NotRegistered","16","False","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"GitHub.Network","NotRegistered","3","False","yes","no","yes","yes","yes","yes","no","no","yes","yes","no","no","yes","no","no","no","yes","yes","no","no"
"Informatica.DataManagement","NotRegistered","8","False","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no"
"LambdaTest.HyperExecute","NotRegistered","6","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"Liftrbasic.Samplerp","NotRegistered","5","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"Microsoft.AAD","NotRegistered","6","False","no","no","yes","yes","yes","yes","no","yes","yes","yes","no","no","yes","yes","yes","yes","yes","yes","no","yes"
"Microsoft.AadCustomSecurityAttributesDiagnosticSettings","NotRegistered","3","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"microsoft.aadiam","NotRegistered","4","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"Microsoft.Addons","NotRegistered","3","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"Microsoft.ADHybridHealthService","Registered","10","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"Microsoft.Advisor","Registered","17","True","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global"
"Microsoft.AlertsManagement","NotRegistered","13","False","yes","yes","yes","yes","yes","yes","no","yes","yes","yes","no","no","yes","yes","yes","yes","yes","yes","no","no"
"Microsoft.AnalysisServices","NotRegistered","6","False","no","no","yes","yes","no","no","no","no","yes","no","no","no","no","no","no","no","no","yes","no","yes"
"Microsoft.ApiCenter","NotRegistered","4","False","no","no","yes","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"Microsoft.ApiManagement","Registered","16","False","yes","no","yes","yes","yes","yes","no","yes","yes","yes","no","no","yes","yes","yes","yes","yes","yes","no","yes"
"Microsoft.App","NotRegistered","48","False","no","no","yes","yes","yes","yes","no","yes","yes","yes","no","no","yes","no","yes","no","yes","yes","no","no"
"Microsoft.AppAssessment","NotRegistered","4","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"Microsoft.AppComplianceAutomation","NotRegistered","15","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"Microsoft.AppConfiguration","Registered","17","False","yes","yes","yes","yes","yes","yes","no","yes","yes","yes","no","no","yes","yes","yes","yes","yes","yes","no","no"
"Microsoft.ApplicationMigration","NotRegistered","43","False","no","no","yes","yes","yes","yes","no","yes","yes","yes","no","no","yes","yes","yes","yes","yes","yes","no","no"
"Microsoft.AppLink","NotRegistered","3","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no"
"Microsoft.AppPlatform","Registered","24","False","no","no","yes","yes","yes","yes","no","no","yes","no","no","no","yes","no","no","no","no","yes","no","no"
"Microsoft.Approvals","NotRegistered","2","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"Microsoft.ArcContainerStorage","NotRegistered","2","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"Microsoft.Attestation","NotRegistered","5","False","yes","yes","yes","yes","yes","yes","no","yes","yes","yes","no","no","yes","yes","yes","yes","yes","yes","no","yes"
"Microsoft.Authorization","Registered","51","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"Microsoft.Automanage","NotRegistered","7","False","no","no","yes","yes","no","no","no","no","yes","no","no","no","no","no","no","no","no","yes","no","no"
"Microsoft.Automation","Registered","18","False","yes","yes","yes","yes","yes","yes","no","no","yes","yes","no","no","yes","yes","no","no","yes","yes","no","no"
"Microsoft.AVS","Registered","32","False","no","no","yes","yes","yes","yes","no","no","yes","yes","no","no","yes","no","yes","yes","no","yes","no","no"
"Microsoft.AWSConnector","NotRegistered","138","False","no","no","yes","yes","yes","yes","no","no","yes","yes","no","no","yes","yes","no","no","yes","yes","no","no"
"Microsoft.AzureActiveDirectory","NotRegistered","10","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"Microsoft.AzureArcData","NotRegistered","13","False","no","no","yes","no","yes","yes","no","no","yes","yes","no","no","yes","no","no","no","no","yes","no","no"
"Microsoft.AzureBusinessContinuity","NotRegistered","3","True","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global"
"Microsoft.AzureContextCache","NotRegistered","5","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"Microsoft.AzureDataTransfer","NotRegistered","10","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"Microsoft.AzureFleet","NotRegistered","4","False","yes","yes","yes","yes","yes","yes","no","yes","yes","yes","no","no","yes","yes","yes","yes","yes","yes","no","yes"
"Microsoft.AzureImageTestingForLinux","NotRegistered","1","True","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global"
"Microsoft.AzureLargeInstance","NotRegistered","4","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"Microsoft.AzurePlaywrightService","NotRegistered","8","False","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"Microsoft.AzureResilienceManagement","NotRegistered","19","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"Microsoft.AzureScan","NotRegistered","5","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"Microsoft.AzureSphere","NotRegistered","10","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"Microsoft.AzureStack","NotRegistered","7","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no"
"Microsoft.AzureStackHCI","NotRegistered","53","False","no","no","yes","no","yes","no","no","no","yes","no","no","no","no","no","no","no","no","yes","no","no"
"Microsoft.AzureTerraform","NotRegistered","3","True","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global"
"Microsoft.BackupSolutions","NotRegistered","4","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"Microsoft.BareMetal","NotRegistered","9","False","yes","yes","yes","yes","yes","yes","no","yes","yes","yes","no","no","yes","yes","yes","yes","yes","yes","no","yes"
"Microsoft.BareMetalInfrastructure","NotRegistered","5","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"Microsoft.Batch","NotRegistered","18","False","yes","no","yes","yes","yes","yes","no","yes","yes","yes","no","no","yes","yes","yes","yes","yes","yes","no","yes"
"Microsoft.Billing","Registered","220","True","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global"
"Microsoft.BillingBenefits","NotRegistered","27","False","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no"
"Microsoft.BillingTrust","NotRegistered","5","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"Microsoft.Bing","NotRegistered","8","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no"
"Microsoft.BlockchainTokens","NotRegistered","1","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"Microsoft.Blueprint","Registered","8","True","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global"
"Microsoft.BotService","Registered","14","False","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"Microsoft.Cache","Registered","23","False","yes","yes","yes","yes","yes","yes","no","yes","yes","yes","no","no","yes","yes","yes","yes","yes","yes","no","yes"
"Microsoft.Capacity","NotRegistered","35","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"Microsoft.Carbon","NotRegistered","3","True","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global"
"Microsoft.Cdn","Registered","65","False","no","no","yes","yes","yes","yes","no","no","yes","yes","no","no","no","no","no","no","yes","yes","no","yes"
"Microsoft.CertificateRegistration","NotRegistered","4","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"Microsoft.ChangeSafety","Registered","16","False","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"Microsoft.Chaos","NotRegistered","10","False","no","no","yes","no","no","yes","no","no","yes","no","no","no","no","no","no","no","no","yes","no","no"
"Microsoft.CleanRoom","NotRegistered","7","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"Microsoft.CloudDevicePlatform","NotRegistered","1","True","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global"
"Microsoft.CloudHealth","NotRegistered","9","False","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no"
"Microsoft.CloudShell","NotRegistered","1","True","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global"
"Microsoft.CloudTest","NotRegistered","8","False","yes","yes","yes","yes","yes","yes","no","no","yes","yes","no","no","yes","yes","no","no","yes","yes","no","yes"
"Microsoft.CodeSigning","NotRegistered","7","False","no","no","no","no","no","no","no","no","yes","no","no","no","yes","no","no","no","no","no","no","no"
"Microsoft.CognitiveServices","Registered","38","False","no","no","yes","yes","yes","yes","no","no","yes","yes","no","no","yes","no","no","no","yes","yes","no","no"
"Microsoft.Commerce","Registered","3","True","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global"
"Microsoft.Communication","NotRegistered","14","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"Microsoft.Compute","Registered","90","False","yes","yes","yes","yes","yes","yes","no","yes","yes","yes","no","no","yes","yes","yes","yes","yes","yes","no","yes"
"Microsoft.ComputeBulkActions","NotRegistered","14","False","yes","yes","yes","yes","yes","yes","no","no","yes","yes","no","no","yes","yes","no","yes","yes","yes","no","yes"
"Microsoft.ComputeLimit","NotRegistered","9","False","yes","no","yes","yes","yes","yes","no","yes","yes","yes","no","no","yes","yes","yes","yes","yes","yes","no","yes"
"Microsoft.ComputeSchedule","NotRegistered","17","False","yes","yes","yes","yes","yes","yes","no","no","yes","yes","no","no","yes","yes","no","yes","yes","yes","no","yes"
"Microsoft.ConfidentialLedger","NotRegistered","6","False","no","no","yes","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no"
"Microsoft.Confluent","NotRegistered","17","False","no","no","yes","no","yes","yes","no","no","yes","no","no","no","yes","no","no","no","no","yes","no","no"
"Microsoft.ConnectedCache","NotRegistered","10","False","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no"
"Microsoft.ConnectedCredentials","NotRegistered","4","False","no","no","yes","no","yes","no","no","no","yes","no","no","no","yes","no","no","no","no","yes","no","no"
"microsoft.connectedopenstack","NotRegistered","3","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"Microsoft.ConnectedVehicle","NotRegistered","5","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"Microsoft.ConnectedVMwarevSphere","NotRegistered","16","False","no","no","yes","no","yes","yes","no","no","yes","no","no","no","no","no","no","no","no","yes","no","no"
"Microsoft.Consumption","Registered","25","True","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global"
"Microsoft.ContainerInstance","Registered","16","False","yes","yes","yes","yes","yes","yes","no","yes","yes","yes","no","no","yes","yes","yes","yes","yes","yes","no","yes"
"Microsoft.ContainerRegistry","Registered","46","False","yes","yes","yes","yes","yes","yes","no","yes","yes","yes","no","no","yes","yes","yes","yes","yes","yes","no","no"
"Microsoft.ContainerService","Registered","33","False","yes","yes","yes","yes","yes","yes","no","yes","yes","yes","no","no","yes","yes","yes","yes","yes","yes","no","no"
"Microsoft.CostManagement","Registered","41","True","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global"
"Microsoft.CostManagementExports","NotRegistered","1","True","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global"
"Microsoft.CustomerLockbox","NotRegistered","5","True","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global"
"Microsoft.CustomProviders","Registered","8","False","no","no","yes","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"Microsoft.D365CustomerInsights","NotRegistered","1","True","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global"
"Microsoft.Dashboard","NotRegistered","13","False","yes","no","yes","yes","yes","yes","no","yes","yes","yes","no","no","yes","no","yes","no","yes","yes","no","no"
"Microsoft.DatabaseFleetManager","NotRegistered","1","False","no","no","yes","no","yes","yes","no","no","no","no","no","no","yes","yes","no","no","yes","yes","no","no"
"Microsoft.DatabaseWatcher","NotRegistered","8","False","yes","no","yes","yes","no","no","no","no","no","yes","no","no","yes","no","no","no","no","yes","no","no"
"Microsoft.DataBox","NotRegistered","10","False","no","no","yes","no","no","yes","no","no","yes","no","no","no","yes","no","no","no","yes","yes","no","no"
"Microsoft.DataBoxEdge","NotRegistered","4","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no"
"Microsoft.Databricks","Registered","8","False","yes","yes","yes","yes","yes","yes","no","no","yes","yes","no","no","yes","no","no","no","yes","yes","no","yes"
"Microsoft.Datadog","NotRegistered","19","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"Microsoft.DataFactory","Registered","8","False","no","no","yes","yes","yes","yes","no","yes","yes","yes","no","no","yes","no","yes","yes","yes","yes","no","no"
"Microsoft.DataLakeAnalytics","Registered","13","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"Microsoft.DataLakeStore","Registered","7","True","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global"
"Microsoft.DataMigration","Registered","13","False","yes","yes","yes","yes","yes","yes","no","yes","yes","yes","no","no","yes","yes","no","yes","yes","yes","no","yes"
"Microsoft.DataProtection","Registered","15","False","yes","no","yes","yes","yes","yes","no","yes","yes","yes","no","no","yes","yes","yes","yes","yes","yes","no","yes"
"Microsoft.DataReplication","NotRegistered","6","False","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","yes","no","no"
"Microsoft.DataShare","NotRegistered","18","False","no","no","yes","no","yes","yes","no","no","no","no","no","no","no","no","no","no","no","yes","no","no"
"Microsoft.DBforMariaDB","Registered","30","False","yes","yes","yes","yes","yes","yes","no","no","yes","yes","no","no","yes","yes","no","no","yes","yes","no","yes"
"Microsoft.DBforMySQL","Registered","42","False","yes","yes","yes","yes","yes","yes","no","yes","yes","yes","no","no","yes","yes","yes","yes","yes","yes","no","yes"
"Microsoft.DBforPostgreSQL","Registered","43","False","yes","yes","yes","yes","yes","yes","no","yes","yes","yes","no","no","yes","yes","yes","yes","yes","yes","no","yes"
"Microsoft.DependencyMap","NotRegistered","5","False","no","no","yes","yes","yes","yes","no","yes","yes","yes","no","no","yes","yes","yes","yes","yes","yes","no","no"
"Microsoft.DesktopVirtualization","Registered","16","False","no","no","yes","no","yes","yes","no","no","yes","yes","no","no","yes","no","no","no","no","yes","no","no"
"Microsoft.DevCenter","NotRegistered","38","False","no","no","yes","no","yes","yes","no","no","yes","yes","no","no","yes","no","no","no","no","yes","no","no"
"Microsoft.DevelopmentWindows365","NotRegistered","1","True","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global"
"Microsoft.DevHub","NotRegistered","9","False","yes","yes","yes","yes","yes","yes","no","no","yes","yes","no","no","yes","yes","no","yes","yes","yes","no","no"
"Microsoft.DeviceOnboarding","NotRegistered","1","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"Microsoft.DeviceRegistry","NotRegistered","19","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"Microsoft.Devices","Registered","14","False","yes","yes","yes","yes","yes","yes","no","no","yes","yes","no","no","yes","yes","no","no","yes","yes","no","no"
"Microsoft.DeviceUpdate","NotRegistered","10","False","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no"
"Microsoft.DevOpsInfrastructure","NotRegistered","13","False","no","no","yes","yes","yes","yes","no","no","yes","no","no","no","yes","no","no","no","no","yes","no","no"
"Microsoft.DevTestLab","Registered","8","False","yes","yes","yes","yes","yes","yes","no","no","yes","yes","no","no","yes","yes","no","no","yes","yes","no","yes"
"Microsoft.Diagnostics","Registered","8","True","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global"
"Microsoft.DigitalTwins","NotRegistered","9","False","no","no","yes","no","no","no","no","no","yes","no","no","no","yes","no","no","no","no","yes","no","no"
"Microsoft.DirectoryStore","NotRegistered","3","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"Microsoft.Discovery","NotRegistered","4","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"Microsoft.DocumentDB","Registered","23","False","yes","yes","yes","yes","yes","yes","no","yes","yes","yes","no","no","yes","yes","yes","yes","yes","yes","no","yes"
"Microsoft.DomainRegistration","NotRegistered","8","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"Microsoft.DurableTask","NotRegistered","9","False","yes","no","yes","yes","yes","yes","no","no","yes","yes","no","no","yes","yes","no","no","yes","yes","no","no"
"Microsoft.Easm","NotRegistered","4","False","no","no","yes","no","no","yes","no","no","yes","no","no","no","no","no","no","no","no","no","no","no"
"Microsoft.Edge","NotRegistered","49","False","no","no","yes","yes","yes","yes","no","no","yes","no","no","no","yes","no","no","no","no","yes","no","no"
"Microsoft.EdgeMarketplace","NotRegistered","5","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"Microsoft.EdgeOrder","NotRegistered","19","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no"
"Microsoft.EdgeOrderPartner","NotRegistered","1","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no"
"Microsoft.EdgeZones","NotRegistered","2","True","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global"
"Microsoft.Elastic","NotRegistered","11","False","no","no","yes","no","yes","no","no","no","yes","no","no","no","no","no","no","no","no","yes","no","no"
"Microsoft.ElasticSan","NotRegistered","5","False","yes","yes","yes","yes","yes","yes","no","no","yes","yes","no","no","yes","yes","no","no","yes","yes","no","no"
"Microsoft.EnterpriseSupport","NotRegistered","5","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"Microsoft.EntitlementManagement","NotRegistered","1","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"Microsoft.EntraIDGovernance","NotRegistered","3","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"Microsoft.EntraIdGovernanceAccelerator","NotRegistered","1","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"Microsoft.EventGrid","Registered","27","False","yes","yes","yes","yes","yes","yes","no","yes","yes","yes","no","no","yes","yes","yes","yes","yes","yes","no","yes"
"Microsoft.EventHub","Registered","26","False","yes","yes","yes","yes","yes","yes","no","yes","yes","yes","no","no","yes","yes","yes","yes","yes","yes","no","yes"
"Microsoft.Experimentation","NotRegistered","1","True","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global"
"Microsoft.ExtendedLocation","NotRegistered","8","False","no","no","yes","yes","yes","yes","no","no","yes","no","no","no","yes","no","no","no","yes","yes","no","no"
"Microsoft.Fabric","NotRegistered","10","False","no","no","yes","yes","yes","yes","no","yes","yes","yes","no","no","yes","yes","yes","yes","yes","yes","no","yes"
"Microsoft.Falcon","NotRegistered","6","False","no","no","no","no","no","yes","no","no","no","no","no","no","no","yes","no","no","no","no","no","no"
"Microsoft.Features","Registered","7","True","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global"
"Microsoft.FileShares","NotRegistered","11","False","yes","no","yes","yes","yes","yes","no","no","yes","yes","no","no","yes","yes","no","no","yes","yes","no","no"
"Microsoft.FluidRelay","NotRegistered","7","False","no","no","yes","no","yes","yes","no","no","yes","no","no","no","yes","no","no","no","no","yes","no","no"
"Microsoft.GCPConnector","NotRegistered","10","False","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"Microsoft.Genome","NotRegistered","4","False","no","no","no","no","yes","no","no","no","no","no","no","no","yes","no","no","no","yes","no","no","no"
"Microsoft.GraphServices","NotRegistered","5","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"Microsoft.GuestConfiguration","Registered","2","True","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global"
