"Namespace","Registration","ResourceTypes","Global","Central US","Central US (Stage)","Central US EUAP","East US","East US (Stage)","East US 2","East US 2 (Stage)","East US 2 EUAP","East US STG","North Central US","North Central US (Stage)","South Central US","South Central US (Stage)","South Central US STG","West Central US","West US","West US (Stage)","West US 2","West US 2 (Stage)","West US 3"
"Microsoft.HanaOnAzure","NotRegistered","5","False","no","no","no","yes","no","no","no","no","no","no","no","yes","no","no","no","no","no","yes","no","no"
"Microsoft.Hardware","NotRegistered","6","False","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","yes","yes","no","yes","no","no"
"Microsoft.HardwareSecurityModules","NotRegistered","4","False","yes","no","no","yes","no","yes","no","no","no","no","no","yes","no","no","yes","yes","no","yes","no","yes"
"Microsoft.HDInsight","Registered","13","False","yes","no","no","yes","no","yes","no","yes","no","yes","no","yes","no","no","yes","yes","no","yes","no","yes"
"Microsoft.HealthBot","NotRegistered","4","False","no","no","no","yes","no","yes","no","yes","no","no","no","yes","no","no","yes","no","no","yes","no","no"
"Microsoft.HealthcareApis","Registered","18","False","no","no","no","yes","no","yes","no","no","no","yes","no","yes","no","no","yes","no","no","yes","no","yes"
"Microsoft.HealthcareInterop","NotRegistered","1","True","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global"
"Microsoft.HealthDataAIServices","NotRegistered","6","False","yes","no","no","yes","no","yes","no","no","no","no","no","yes","no","no","no","no","no","yes","no","yes"
"Microsoft.HealthModel","NotRegistered","1","True","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global"
"Microsoft.HealthPlatform","NotRegistered","1","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","yes"
"Microsoft.Help","NotRegistered","13","True","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global"
"Microsoft.HorizonDB","NotRegistered","8","False","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","yes"
"Microsoft.HybridCloud","NotRegistered","2","False","yes","no","no","yes","no","yes","no","no","no","no","no","yes","no","no","yes","yes","no","yes","no","yes"
"Microsoft.HybridCompute","NotRegistered","34","False","yes","no","yes","yes","no","yes","no","yes","no","yes","no","yes","no","no","yes","yes","no","yes","no","yes"
"Microsoft.HybridConnectivity","NotRegistered","9","False","yes","no","no","yes","no","yes","no","no","no","yes","no","yes","no","no","yes","yes","no","yes","no","yes"
"Microsoft.HybridContainerService","NotRegistered","11","False","no","no","no","yes","no","no","no","yes","no","no","no","yes","no","no","no","no","no","no","no","yes"
"Microsoft.HybridNetwork","NotRegistered","26","False","no","no","yes","yes","no","no","no","yes","no","no","no","yes","no","no","yes","no","no","no","no","yes"
"Microsoft.Impact","NotRegistered","5","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"Microsoft.InferenceService","NotRegistered","2","False","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","yes"
"microsoft.insights","Registered","86","False","yes","no","yes","yes","no","yes","no","yes","no","yes","no","yes","no","no","yes","yes","no","yes","no","yes"
"Microsoft.IntegrationSpaces","NotRegistered","9","False","yes","no","no","yes","no","yes","no","no","no","yes","no","yes","no","no","yes","yes","no","yes","no","yes"
"Microsoft.IoTCentral","NotRegistered","7","False","yes","no","no","yes","no","yes","no","no","no","no","no","yes","no","no","yes","yes","no","no","no","no"
"Microsoft.IoTFirmwareDefense","NotRegistered","14","False","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"Microsoft.IoTOperations","NotRegistered","16","False","no","no","no","yes","no","yes","no","no","no","no","no","yes","no","no","no","yes","no","yes","no","yes"
"Microsoft.IoTOperationsDataProcessor","NotRegistered","6","False","no","no","no","yes","no","yes","no","no","no","no","no","no","no","no","no","yes","no","yes","no","yes"
"Microsoft.IoTSecurity","NotRegistered","21","False","yes","no","no","yes","no","yes","no","no","no","yes","no","yes","no","no","yes","yes","no","yes","no","no"
"Microsoft.KeyVault","Registered","21","False","yes","no","yes","yes","no","yes","no","yes","no","yes","no","yes","no","no","yes","yes","no","yes","no","yes"
"Microsoft.Kubernetes","NotRegistered","5","False","yes","no","yes","yes","no","yes","no","yes","no","yes","no","yes","no","no","yes","yes","no","yes","no","yes"
"Microsoft.KubernetesConfiguration","NotRegistered","11","False","yes","no","no","yes","no","yes","no","no","no","yes","no","yes","no","no","yes","yes","no","yes","no","yes"
"Microsoft.KubernetesRuntime","NotRegistered","8","False","no","no","no","yes","no","yes","no","no","no","no","no","yes","no","no","no","no","no","yes","no","yes"
"Microsoft.Kusto","Registered","15","False","yes","no","no","yes","no","yes","no","no","no","yes","no","yes","no","no","yes","yes","no","yes","no","yes"
"Microsoft.LabServices","NotRegistered","9","False","yes","no","no","yes","no","yes","no","no","no","yes","no","yes","no","no","yes","yes","no","yes","no","no"
"Microsoft.LoadTestService","NotRegistered","14","False","yes","no","no","yes","no","yes","no","no","no","yes","no","yes","no","no","yes","yes","no","yes","no","yes"
"Microsoft.Logic","Registered","14","False","yes","no","no","yes","no","yes","no","no","no","yes","no","yes","no","no","yes","yes","no","yes","no","yes"
"Microsoft.MachineLearningServices","Registered","69","False","yes","no","no","yes","no","yes","no","no","no","yes","no","yes","no","no","yes","yes","no","yes","no","yes"
"Microsoft.Maintenance","Registered","7","False","yes","no","no","yes","no","yes","no","no","no","yes","no","yes","no","no","yes","yes","no","yes","no","yes"
"Microsoft.ManagedIdentity","Registered","4","False","yes","no","no","yes","no","yes","no","no","no","yes","no","yes","no","no","yes","yes","no","yes","no","yes"
"Microsoft.ManagedNetworkFabric","NotRegistered","30","False","no","no","no","yes","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","yes"
"Microsoft.ManagedOps","NotRegistered","4","False","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","yes","no","no","yes","no","no"
"Microsoft.ManagedServices","Registered","5","True","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global"
"Microsoft.Management","Registered","11","True","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global"
"Microsoft.Maps","Registered","9","False","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","yes","no","no","yes","no","no"
"Microsoft.Marketplace","NotRegistered","48","True","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global"
"Microsoft.MarketplaceOrdering","Registered","3","False","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","yes","no","no","no","no"
"Microsoft.MessagingCatalog","NotRegistered","1","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"Microsoft.MessagingConnectors","NotRegistered","2","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"Microsoft.Migrate","NotRegistered","24","False","yes","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","yes","no","no"
"Microsoft.Mission","NotRegistered","14","False","yes","no","no","yes","no","yes","no","no","no","yes","no","yes","no","no","yes","yes","no","yes","no","yes"
"Microsoft.Monitor","NotRegistered","13","False","yes","no","no","yes","no","yes","no","no","no","yes","no","yes","no","no","yes","yes","no","yes","no","yes"
"Microsoft.MySqlDiscovery","NotRegistered","9","False","yes","no","yes","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","yes","no","no"
"Microsoft.NetApp","NotRegistered","30","False","yes","no","no","yes","no","yes","no","no","no","yes","no","yes","no","no","yes","yes","no","yes","no","yes"
"Microsoft.Network","Registered","200","False","yes","no","no","yes","no","yes","no","no","no","yes","no","yes","no","no","yes","yes","no","yes","no","yes"
"Microsoft.NetworkCloud","NotRegistered","25","False","no","no","no","yes","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","yes"
"Microsoft.NetworkFunction","NotRegistered","11","False","yes","no","no","yes","no","yes","no","no","no","yes","no","yes","no","no","yes","yes","no","yes","no","yes"
"Microsoft.NexusIdentity","NotRegistered","5","False","no","no","no","yes","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","yes"
"Microsoft.NotificationHubs","Registered","5","False","yes","no","no","yes","no","yes","no","no","no","yes","no","yes","no","no","yes","yes","no","yes","no","yes"
"Microsoft.Nutanix","NotRegistered","5","False","yes","no","no","yes","no","yes","no","no","no","yes","no","yes","no","no","yes","yes","no","yes","no","yes"
"Microsoft.ObjectStore","NotRegistered","1","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"Microsoft.OffAzure","NotRegistered","9","False","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no"
"Microsoft.OffAzureSpringBoot","NotRegistered","8","False","yes","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","yes","no","no"
"Microsoft.OnlineExperimentation","NotRegistered","2","True","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global"
"Microsoft.OpenEnergyPlatform","NotRegistered","8","False","no","no","no","yes","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no"
"Microsoft.OperationalInsights","Registered","26","False","yes","no","yes","yes","no","yes","no","yes","no","yes","no","yes","no","no","yes","yes","no","yes","no","yes"
"Microsoft.OperationsManagement","Registered","3","False","yes","no","no","yes","no","yes","no","no","no","yes","no","yes","no","no","yes","yes","no","yes","no","yes"
"Microsoft.OperatorVoicemail","NotRegistered","4","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"Microsoft.Orbital","NotRegistered","4","False","yes","no","no","yes","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no"
"Microsoft.PartnerEnrollment","NotRegistered","1","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"Microsoft.PartnerManagedConsumerRecurrence","NotRegistered","4","True","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global"
"Microsoft.Peering","NotRegistered","12","False","no","no","no","yes","no","yes","no","no","no","yes","no","yes","no","no","yes","yes","no","yes","no","no"
"Microsoft.Pki","NotRegistered","1","True","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global"
"Microsoft.PolicyInsights","Registered","17","True","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global"
"Microsoft.Portal","Registered","11","False","yes","no","yes","yes","no","yes","no","yes","no","yes","no","yes","no","no","yes","yes","no","yes","no","yes"
"Microsoft.PortalServices","NotRegistered","8","False","no","no","no","yes","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","yes"
"Microsoft.PowerBI","NotRegistered","6","False","no","no","no","no","no","yes","no","yes","no","yes","no","yes","no","no","no","yes","no","no","no","no"
"Microsoft.PowerBIDedicated","Registered","7","False","yes","no","no","yes","no","yes","no","no","no","yes","no","yes","no","no","yes","yes","no","yes","no","yes"
"Microsoft.PowerPlatform","NotRegistered","3","False","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no"
"MICROSOFT.POWERPLATFORMMONITORINGHUB","NotRegistered","4","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"Microsoft.Premonition","NotRegistered","2","False","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"Microsoft.ProfessionalService","NotRegistered","5","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"Microsoft.ProgramEnrollment","NotRegistered","4","False","yes","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","yes","no","no"
"Microsoft.ProviderHub","NotRegistered","12","True","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global"
"Microsoft.Purview","NotRegistered","12","False","yes","no","no","yes","no","yes","no","no","no","no","no","yes","no","no","yes","yes","no","yes","no","yes"
"Microsoft.Quantum","NotRegistered","7","False","no","no","yes","yes","no","no","no","yes","no","no","no","no","no","no","no","yes","no","no","no","no"
"Microsoft.Quota","NotRegistered","19","True","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global"
"Microsoft.RecoveryServices","Registered","20","False","yes","no","no","yes","no","yes","no","no","no","yes","no","yes","no","no","yes","yes","no","yes","no","yes"
"Microsoft.RedHatOpenShift","NotRegistered","7","False","yes","no","no","yes","no","yes","no","no","no","yes","no","yes","no","no","yes","yes","no","yes","no","yes"
"Microsoft.Relationships","NotRegistered","5","True","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global"
"Microsoft.Relay","Registered","12","False","yes","no","no","yes","no","yes","no","no","no","yes","no","yes","no","no","yes","yes","no","yes","no","yes"
"Microsoft.ResourceBuilder","NotRegistered","4","False","no","no","no","yes","no","yes","no","no","no","no","no","no","no","no","yes","yes","no","yes","no","no"
"Microsoft.ResourceConnector","NotRegistered","6","False","yes","no","no","yes","no","yes","no","no","no","yes","no","yes","no","no","no","no","no","yes","no","yes"
"Microsoft.ResourceGraph","Registered","8","False","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"Microsoft.ResourceHealth","NotRegistered","7","True","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global"
"Microsoft.ResourceIntelligence","Registered","3","False","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"Microsoft.ResourceNotifications","Registered","4","False","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no"
"Microsoft.Resources","Registered","52","False","yes","no","no","yes","no","yes","no","no","no","yes","no","yes","no","no","yes","yes","no","yes","no","yes"
"Microsoft.SaaS","NotRegistered","6","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"Microsoft.SaaSHub","NotRegistered","17","False","yes","no","yes","no","no","yes","no","no","no","yes","no","yes","no","no","yes","yes","no","yes","no","yes"
"Microsoft.Scom","NotRegistered","6","False","yes","no","yes","yes","no","yes","no","yes","no","no","no","yes","no","no","no","yes","no","yes","no","yes"
"Microsoft.SCVMM","NotRegistered","14","False","yes","no","no","yes","no","yes","no","yes","no","no","no","yes","no","no","no","no","no","yes","no","yes"
"Microsoft.Search","Registered","10","False","yes","no","yes","yes","no","yes","no","yes","no","yes","no","yes","no","no","yes","yes","no","yes","no","yes"
"Microsoft.SecretSyncController","NotRegistered","5","False","no","no","no","yes","no","yes","no","no","no","no","no","yes","no","no","no","yes","no","yes","no","yes"
"Microsoft.Security","Registered","90","False","yes","no","no","yes","no","yes","no","no","no","yes","no","yes","no","no","yes","yes","no","yes","no","yes"
"Microsoft.SecurityCopilot","NotRegistered","4","False","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"Microsoft.SecurityDetonation","NotRegistered","4","False","yes","no","no","yes","no","yes","no","no","no","no","no","yes","no","no","yes","yes","no","yes","no","yes"
"Microsoft.SecurityInsights","Registered","43","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"Microsoft.SecurityPlatform","NotRegistered","3","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no"
"Microsoft.SentinelPlatformServices","NotRegistered","3","False","yes","no","no","yes","no","yes","no","no","no","yes","no","yes","no","no","no","no","no","yes","no","no"
"Microsoft.SerialConsole","Registered","5","False","yes","no","no","yes","no","yes","no","no","no","yes","no","yes","no","no","yes","yes","no","yes","no","yes"
"Microsoft.ServiceBus","Registered","27","False","yes","no","yes","yes","no","yes","no","yes","no","yes","no","yes","no","no","yes","yes","no","yes","no","yes"
"Microsoft.ServiceFabric","Registered","23","False","yes","no","no","yes","no","yes","no","no","no","yes","no","yes","no","no","yes","yes","no","yes","no","yes"
"Microsoft.ServiceFabricMesh","NotRegistered","12","False","yes","no","no","yes","no","yes","no","no","no","yes","no","yes","no","no","yes","yes","no","yes","no","yes"
"Microsoft.ServiceLinker","NotRegistered","9","False","yes","no","no","yes","no","yes","no","no","no","yes","no","yes","no","no","yes","yes","no","yes","no","yes"
"Microsoft.ServiceNetworking","NotRegistered","15","False","yes","no","no","yes","no","yes","no","no","no","yes","no","yes","no","no","no","yes","no","yes","no","yes"
"Microsoft.ServicesHub","NotRegistered","6","False","yes","no","no","yes","no","yes","no","no","no","yes","no","yes","no","no","yes","yes","no","yes","no","no"
"Microsoft.SignalRService","Registered","15","False","yes","no","no","yes","no","yes","no","no","no","yes","no","yes","no","no","yes","yes","no","yes","no","yes"
"Microsoft.Singularity","NotRegistered","19","False","yes","no","no","yes","no","yes","no","no","no","yes","no","yes","no","no","yes","yes","no","yes","no","yes"
"Microsoft.SoftwarePlan","NotRegistered","20","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"Microsoft.Solutions","NotRegistered","6","False","yes","no","no","yes","no","yes","no","no","no","yes","no","yes","no","no","yes","yes","no","yes","no","yes"
"Microsoft.Sovereign","NotRegistered","6","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"Microsoft.Sql","Registered","249","False","yes","no","yes","yes","no","yes","no","yes","no","yes","no","yes","no","no","yes","yes","no","yes","no","yes"
"Microsoft.SqlVirtualMachine","NotRegistered","10","False","yes","no","no","yes","no","yes","no","no","no","yes","no","yes","no","no","yes","yes","no","yes","no","yes"
"Microsoft.StandbyPool","NotRegistered","8","False","yes","no","no","yes","no","yes","no","no","no","yes","no","yes","no","no","yes","yes","no","yes","no","yes"
"Microsoft.Storage","Registered","30","False","yes","no","yes","yes","no","yes","no","yes","no","yes","no","yes","no","no","yes","yes","no","yes","no","yes"
"Microsoft.StorageActions","NotRegistered","7","False","yes","no","no","yes","no","yes","no","no","no","yes","no","yes","no","no","yes","yes","no","yes","no","yes"
"Microsoft.StorageCache","NotRegistered","14","False","yes","no","no","yes","no","yes","no","no","no","yes","no","yes","no","no","no","yes","no","yes","no","yes"
"Microsoft.StorageDiscovery","NotRegistered","5","False","yes","no","no","no","no","yes","no","no","no","no","no","yes","no","no","no","no","no","yes","no","no"
"Microsoft.StorageMover","NotRegistered","10","False","no","no","no","yes","no","yes","no","no","no","no","no","no","no","no","yes","no","no","no","no","yes"
"Microsoft.StorageSync","NotRegistered","12","False","yes","no","no","yes","no","yes","no","no","no","yes","no","yes","no","no","yes","yes","no","yes","no","yes"
"Microsoft.StorageTasks","NotRegistered","1","True","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global"
"Microsoft.StreamAnalytics","Registered","12","False","yes","no","no","yes","no","yes","no","no","no","yes","no","yes","no","no","yes","yes","no","yes","no","yes"
"Microsoft.Subscription","NotRegistered","20","True","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global"
"Microsoft.SupercomputerInfrastructure","NotRegistered","3","False","yes","no","no","yes","no","yes","no","no","no","no","no","yes","no","no","no","no","no","no","no","yes"
"microsoft.support","Registered","12","False","yes","no","no","yes","no","yes","no","no","no","yes","no","yes","no","no","no","yes","no","no","no","no"
"Microsoft.SustainabilityServices","NotRegistered","2","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"Microsoft.Synapse","NotRegistered","25","False","yes","no","no","yes","no","yes","no","no","no","yes","no","yes","no","no","yes","yes","no","yes","no","yes"
"Microsoft.Syntex","NotRegistered","5","False","yes","no","no","yes","no","yes","no","no","no","yes","no","yes","no","no","yes","yes","no","no","no","no"
"Microsoft.ToolchainOrchestrator","NotRegistered","1","True","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global"
"Microsoft.UpdateManager","NotRegistered","2","True","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global"
"Microsoft.UsageBilling","NotRegistered","1","False","yes","no","yes","yes","no","yes","no","yes","no","yes","no","yes","no","no","yes","yes","no","yes","no","yes"
"Microsoft.Validate","NotRegistered","2","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"Microsoft.VerifiedId","NotRegistered","1","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no"
"Microsoft.VideoIndexer","NotRegistered","9","False","yes","no","no","yes","no","yes","no","no","no","no","no","yes","no","no","yes","yes","no","yes","no","yes"
"Microsoft.VirtualMachineImages","NotRegistered","6","False","yes","no","no","yes","no","yes","no","no","no","yes","no","yes","no","no","yes","yes","no","yes","no","yes"
"microsoft.visualstudio","NotRegistered","5","False","yes","no","no","yes","no","yes","no","no","no","yes","no","yes","no","no","yes","yes","no","yes","no","no"
"Microsoft.VMware","NotRegistered","4","False","no","no","no","yes","no","no","no","yes","no","no","no","no","no","no","no","yes","no","no","no","no"
"Microsoft.Web","Registered","81","False","yes","no","yes","yes","no","yes","no","yes","no","yes","no","yes","no","no","yes","yes","no","yes","no","yes"
"Microsoft.WeightsAndBiases","NotRegistered","6","False","no","no","yes","yes","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no"
"Microsoft.Windows365","NotRegistered","1","True","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global"
"Microsoft.WindowsPushNotificationServices","NotRegistered","1","True","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global"
"Microsoft.WorkloadBuilder","NotRegistered","3","False","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","yes","no","no","no","no","no"
"Microsoft.Workloads","NotRegistered","13","False","yes","no","no","yes","no","yes","no","no","no","no","no","yes","no","no","no","no","no","yes","no","yes"
"Microsoft.ZeroTrustSegmentation","NotRegistered","2","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"MongoDB.Atlas","NotRegistered","8","False","yes","no","yes","no","no","yes","no","yes","no","no","no","no","no","no","no","no","no","yes","no","no"
"Napster.CompanionAPI","NotRegistered","7","False","no","no","yes","yes","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no"
"NewRelic.Observability","NotRegistered","13","False","no","no","yes","yes","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no"
"NGINX.NGINXPLUS","NotRegistered","8","False","yes","no","yes","yes","no","yes","no","yes","no","yes","no","yes","no","no","yes","yes","no","yes","no","yes"
"Oracle.Database","NotRegistered","30","False","yes","no","no","yes","no","yes","no","no","no","yes","no","yes","no","no","no","yes","no","yes","no","yes"
"PaloAltoNetworks.Cloudngfw","NotRegistered","22","False","yes","no","yes","yes","no","yes","no","yes","no","yes","no","yes","no","no","yes","yes","no","yes","no","yes"
"Pinecone.VectorDb","NotRegistered","6","False","no","no","yes","yes","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no"
"PURESTORAGE.BLOCK","NotRegistered","14","False","yes","no","yes","yes","no","yes","no","yes","no","no","no","yes","no","no","no","yes","no","yes","no","yes"
"Qumulo.Storage","NotRegistered","6","False","yes","no","yes","yes","no","yes","no","yes","no","yes","no","yes","no","no","yes","yes","no","yes","no","yes"
